id,requirement,priority,baseline_evidence,implementation_paths,validation_method,validation_evidence,status,iteration,notes
V12.1-F01,"Remote final-head evidence must validate the actual final HEAD (not a parent candidate); after report commit, run lightweight acceptance on the new final HEAD, then tag that exact HEAD without another report commit.",MUST,build-evidence/V12-REMOTE-ACCEPTANCE.md validated 6ecf005 while final HEAD was ac84e94,build-evidence/V12_1-REMOTE-ACCEPTANCE.md; closing tag protocol,fresh clone HEAD match + final lightweight check on report-commit HEAD,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F01
V12.1-F02,Every rendered final DOCX/PDF page is visually inspected and recorded in per-page QA CSVs; 'sample covers inspected' is not acceptable.,MUST,V12-FINAL-LOCAL-ACCEPTANCE.md sample covers only; no per-page audit,build-evidence/V12_1-DOCX-PAGE-QA.csv; build-evidence/V12_1-PDF-PAGE-QA.csv,row count == page count; every row inspected/PASS,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F02
V12.1-F03,Markdown tables must render as real Word tables; build_docx_from_md must not skip lines beginning with '|'.,MUST,scripts/v12/render_v12_final_packets.py build_docx_from_md continues past | lines,scripts/v12_1/render_v12_1_packets.py; scripts/v12/render_publication_docs.py render_markdown,table exists in source MD and corresponding w:tbl in DOCX,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F03
V12.1-F04,Final teacher/family packets embed appropriate original V12.1 SVG→PNG/diagram instructional visuals where they improve teaching (not decorative bloat).,MUST,No meaningful add_picture integration in V12 publication pipeline,scripts/v12_1/render_v12_1_packets.py; visuals PNG exports,DOCX/PDF image presence check for expected packets,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F04
V12.1-F05,C1-W1 Saturday print packet includes all required components in print order: cover+run; opening mantra; family orientation+roadmap; blank covenant acknowledgement; parent handout; younger rules; older rules; younger activities; older activities; older answer key in teacher-only section; family saṅkalpa card; Cycle 1 project intro; Week 1 home-practice card; younger teacher run sheet; older teacher run sheet; main-facilitator run sheet; room/material/snack checklist.,MUST,"V12 builder only combined facilitator, younger, older, family-home-practice",exports/final/KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx,component presence checklist in acceptance validator,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F05
V12.1-F06,"C1 controlling MAIN-FACILITATOR-GUIDE-V12.md must embed actual core teaching (prep, script, analogies+limits, examples, 3 cases, questions, FAQ, misconceptions, boundaries, transitions) — not 'Use week research ANALOGIES-AND-LIMITS and CASE-STUDIES'. Restore/merge strongest V11.1 depth from 7a61b82.",MUST,V12 C1 guides ~3KB shells with research deferrals,11-weekly-program-library/.../c1-w*/teacher/MAIN-FACILITATOR-GUIDE-V12.md,forbidden-phrase scan + semantic component checklist,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F06
V12.1-F07,"All 12 C2/C3 facilitator guides must be substantively authored to gold standard (inline script, analogies, cases, questions, FAQ) — not one-line core explanation shells.",MUST,C2-W1 one-line core + Use week research...,c2-w*/teacher/MAIN-FACILITATOR-GUIDE-V12.md; c3-w*/teacher/MAIN-FACILITATOR-GUIDE-V12.md,content-fidelity audit all 12 weeks,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F07
V12.1-F08,C2/C3 research must meet gold standard: scriptural examples with URLs; science citation OR explicit N/A with reason; three week-specific constructed cases — not generic policy or single generic case.,MUST,C2-W1 SCRIPTURAL one row; SCIENCE generic policy; CASE one generic family struggle,c2-w*/research/*; c3-w*/research/*,research fidelity validators,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F08
V12.1-F09,Every week younger K–2 and older Grades 4–5 teacher guides and activity packs must contain actual executable lessons/activities — not 'See activities' or 'Week craft tied to...'.,MUST,C2-W1 younger See activities; craft tied to theme,*/teacher/YOUNGER-TEACHER-GUIDE.md; */teacher/OLDER-TEACHER-GUIDE.md; */activities/*,forbidden phrases + required lesson components,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F09
V12.1-F10,"Remove all arbitrary meaning[:N] truncation in Gamma generators; verse teaching meanings on slides must be complete sentences (or intentional shorter complete sentences), never mid-word/mid-sentence cuts.",MUST,generate_v12_production.py meaning[:110]/[:140]; W1 ends 'steady devotion to the',scripts/v12/generate_v12_production.py; gamma/*DECK-PROMPT.md,scan for meaning[: and truncated tokens; compare to verse pack,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F10
V12.1-F11,"Gamma slides must use actual titles/copy, exact sources, and specific image prompts (scene/subjects/actions/setting/composition/light/boundaries) — not 'Detailed 16:9 educational image for...', 'Week objective for', 'Stay in week scope', or 'week research + launch policy as applicable'.",MUST,Repeated generic Gamma prompts across weeks,*/gamma/V12*-*.md; V12.1 gamma prompts,Gamma quality validators + human-read audit,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F11
V12.1-F12,C3-W4 CC Antya 20.12 verse pack must embed the COMPLETE source-language verse and complete IAST through paraṁ vijayate śrī-kṛṣṇa-saṅkīrtanam (do not stop at vidyā-vadhū-jīvanam).,MUST,launch/C3-VERSE-PACK.md and verse_data.yaml stopped at first half,scripts/v12/verse_data.yaml; launch/C3-VERSE-PACK.md; launch/C3-VERSE-PACK.yaml,string contains paraṁ vijayate śrī-kṛṣṇa-saṅkīrtanam,V12_1-VALIDATOR-REPORT.md; V12_1-FINAL-LOCAL-ACCEPTANCE.md; V12_1-RED-TEAM-AUDIT.md; page QA CSVs,PASS,1,Independent finding F12
