requirement_id,requirement,deliverable_path,status,notes
C1-W6-R01,V13-WEEK-START-HERE,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/V13-WEEK-START-HERE.md,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R02,MAIN-FACILITATOR-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/teacher/MAIN-FACILITATOR-GUIDE-V13.md,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R03,PARENT-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/teacher/PARENT-GUIDE-V13.md,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R04,YOUNGER-TEACHER-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/teacher/YOUNGER-TEACHER-GUIDE-V13.md,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R05,OLDER-TEACHER-GUIDE-V13,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/teacher/OLDER-TEACHER-GUIDE-V13.md,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R06,family-home-practice-v13,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/family-home-practice-v13.md,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R07,materials-v13,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/materials-v13.md,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R08,research V13 set,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/research/,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R09,activities v13-younger/older/parent,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/activities/,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R10,project V13-MODULE-PROJECT-BRIEF,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/project/V13-MODULE-PROJECT-BRIEF.md,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R11,Gamma V13 prompts + source map,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/gamma/,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R12,visuals/v13 PNG + RIGHTS,11-weekly-program-library/first-six-months/c1-w6-integration-night-who-am-i-and-how-should-our-family-live/visuals/v13/,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R13,printables/C1-W6.py,scripts/v13/printables/C1-W6.py,PASS,Retrieval + presentation (noncompetitive)
C1-W6-R14,CONTENT-AUDIT,build-evidence/v13/C1-W6/CONTENT-AUDIT.md,PASS,Retrieval + presentation (noncompetitive)
