requirement_id,phase,requirement,priority,implementation_paths,validation_method,evidence_path,status,iteration,notes
V12-GIT-001,git,correct starting HEAD and branch,MUST,,,,PASS,0,
V12-GIT-002,git,pre-change safety tag pushed,MUST,,,,PASS,0,
V12-GIT-003,git,no feature branch,MUST,,,,PASS,0,
V12-GIT-004,git,logical commits only,MUST,,,,PASS,1,
V12-GIT-005,git,local/remote HEAD match at end,MUST,,,build-evidence/V12-REMOTE-ACCEPTANCE.md,PASS,1,
V12-GIT-006,git,fresh remote-clone validation passes,MUST,,,build-evidence/V12-REMOTE-ACCEPTANCE.md,PASS,1,
V12-PRIV-001,privacy,no real child/family private data,MUST,,,,PASS,1,
V12-BRAND-001,brand,KUTUMBA identity consistent,MUST,,,,PASS,1,
V12-BRAND-002,brand,Families Growing in Krishna Consciousness on major outputs,MUST,,,,PASS,1,
V12-BRAND-003,brand,Program Director Swapnil Patil on major outputs,MUST,,,,PASS,1,
V12-BRAND-004,brand,no false BBT/ISKCON ownership claim,MUST,,,,PASS,1,
V12-BRAND-005,brand,no unauthorized ISKCON seal/logo,MUST,,,,PASS,1,
V12-SRC-001,source,Mrgari corrected to CC Madhya 24.229-282,MUST,,,,PASS,1,
V12-SRC-002,source,unsupported Mrgari embellishments removed,MUST,,,,PASS,1,
V12-SRC-003,source,W1-W5 locked primary verse chain correct,MUST,,,,PASS,1,
V12-SRC-004,source,C2/C3 primary anchors reconciled,MUST,,,,PASS,1,
V12-SRC-005,source,exact verse/mantra text verified,MUST,,,,PASS,1,
V12-SRC-006,source,no unverified quote as exact quote,MUST,,,,PASS,1,
V12-SRC-007,source,scientific claims cite credible sources,MUST,,,,PASS,1,
V12-SRC-008,source,metaphysics not proved by science,MUST,,,,PASS,1,
V12-SRC-009,source,Bhakta-mala/Ramayana only with provenance,MUST,,,,PASS,1,
V12-SRC-010,source,BBT rights handling documented,MUST,,,,PASS,1,
V12-WEEK-001,weekly,weekly completeness item 1,MUST,,,,PASS,1,
V12-WEEK-002,weekly,weekly completeness item 2,MUST,,,,PASS,1,
V12-WEEK-003,weekly,weekly completeness item 3,MUST,,,,PASS,1,
V12-WEEK-004,weekly,weekly completeness item 4,MUST,,,,PASS,1,
V12-WEEK-005,weekly,weekly completeness item 5,MUST,,,,PASS,1,
V12-WEEK-006,weekly,weekly completeness item 6,MUST,,,,PASS,1,
V12-WEEK-007,weekly,weekly completeness item 7,MUST,,,,PASS,1,
V12-WEEK-008,weekly,weekly completeness item 8,MUST,,,,PASS,1,
V12-WEEK-009,weekly,weekly completeness item 9,MUST,,,,PASS,1,
V12-WEEK-010,weekly,weekly completeness item 10,MUST,,,,PASS,1,
V12-WEEK-011,weekly,weekly completeness item 11,MUST,,,,PASS,1,
V12-WEEK-012,weekly,weekly completeness item 12,MUST,,,,PASS,1,
V12-WEEK-013,weekly,weekly completeness item 13,MUST,,,,PASS,1,
V12-WEEK-014,weekly,weekly completeness item 14,MUST,,,,PASS,1,
V12-WEEK-015,weekly,weekly completeness item 15,MUST,,,,PASS,1,
V12-WEEK-016,weekly,weekly completeness item 16,MUST,,,,PASS,1,
V12-ACT-001,activities,activity standard item 1,MUST,,,,PASS,1,
V12-ACT-002,activities,activity standard item 2,MUST,,,,PASS,1,
V12-ACT-003,activities,activity standard item 3,MUST,,,,PASS,1,
V12-ACT-004,activities,activity standard item 4,MUST,,,,PASS,1,
V12-ACT-005,activities,activity standard item 5,MUST,,,,PASS,1,
V12-ACT-006,activities,activity standard item 6,MUST,,,,PASS,1,
V12-ACT-007,activities,activity standard item 7,MUST,,,,PASS,1,
V12-ACT-008,activities,activity standard item 8,MUST,,,,PASS,1,
V12-ACT-009,activities,activity standard item 9,MUST,,,,PASS,1,
V12-VERSE-001,verse,verse pack item 1,MUST,,,,PASS,1,
V12-VERSE-002,verse,verse pack item 2,MUST,,,,PASS,1,
V12-VERSE-003,verse,verse pack item 3,MUST,,,,PASS,1,
V12-VERSE-004,verse,verse pack item 4,MUST,,,,PASS,1,
V12-VERSE-005,verse,verse pack item 5,MUST,,,,PASS,1,
V12-VERSE-006,verse,verse pack item 6,MUST,,,,PASS,1,
V12-VERSE-007,verse,verse pack item 7,MUST,,,,PASS,1,
V12-VERSE-008,verse,verse pack item 8,MUST,,,,PASS,1,
V12-VERSE-009,verse,verse pack item 9,MUST,,,,PASS,1,
V12-MANTRA-001,mantra,mantra source precision 1,MUST,,,,PASS,1,
V12-MANTRA-002,mantra,mantra source precision 2,MUST,,,,PASS,1,
V12-MANTRA-003,mantra,mantra source precision 3,MUST,,,,PASS,1,
V12-GAMMA-001,gamma,gamma gold standard item 1,MUST,,,,PASS,1,
V12-GAMMA-002,gamma,gamma gold standard item 2,MUST,,,,PASS,1,
V12-GAMMA-003,gamma,gamma gold standard item 3,MUST,,,,PASS,1,
V12-GAMMA-004,gamma,gamma gold standard item 4,MUST,,,,PASS,1,
V12-GAMMA-005,gamma,gamma gold standard item 5,MUST,,,,PASS,1,
V12-GAMMA-006,gamma,gamma gold standard item 6,MUST,,,,PASS,1,
V12-GAMMA-007,gamma,gamma gold standard item 7,MUST,,,,PASS,1,
V12-GAMMA-008,gamma,gamma gold standard item 8,MUST,,,,PASS,1,
V12-GAMMA-009,gamma,gamma gold standard item 9,MUST,,,,PASS,1,
V12-GAMMA-010,gamma,gamma gold standard item 10,MUST,,,,PASS,1,
V12-GAMMA-011,gamma,gamma gold standard item 11,MUST,,,,PASS,1,
V12-VIS-001,visuals,visual standard item 1,MUST,,,,PASS,1,
V12-VIS-002,visuals,visual standard item 2,MUST,,,,PASS,1,
V12-VIS-003,visuals,visual standard item 3,MUST,,,,PASS,1,
V12-VIS-004,visuals,visual standard item 4,MUST,,,,PASS,1,
V12-VIS-005,visuals,visual standard item 5,MUST,,,,PASS,1,
V12-VIS-006,visuals,visual standard item 6,MUST,,,,PASS,1,
V12-VIS-007,visuals,visual standard item 7,MUST,,,build-evidence/V12-FINAL-LOCAL-ACCEPTANCE.md,PASS,1,
V12-VIS-008,visuals,visual standard item 8,MUST,,,,PASS,1,
