artifact,page,render,visual_observation,issue,fix_iteration,status
KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf,1,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 1 of KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf: KUTUMBA Family Orientation and Covenant Welcome, commitments, acknowledgement, and house rules C1-W1 • What Is KUTUMBA, and Why Are We Here? — EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf,2,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 2 of KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf: Time Block 1:50–2:00 Arrival 2:00–2:10 Opening mantras + welcome 2:10–2:30 All-family launch/orientation 2:30–3:10 Parallel tracks 3:10–3:30 — locked schedule table includes 2:30 tracks and 3:10 reunite — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf,3,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 3 of KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf: Canonical source: launch/KUTUMBA-C1-FAMILY-ORIENTATION.md • SHA-256: fdcd022e2defb3d852f841e68c934e6a4ee0308e1c3ad0f29271a9da454394b3 1. Wel — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf,4,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 4 of KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf: 2:00–2:10 Opening mantras / short kīrtana 2:10–2:30 Shared family opening / Prem-kī-Kathā 2:30–3:10 Parallel parent + younger (K–2) + older  — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf,5,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 5 of KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf: Each week adds a small layer. Week 6 is integration night: ~10 minutes per family to share understanding and application. Rubric dimensions: — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf,6,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 6 of KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf: Canonical source: launch/FAMILY-COVENANT.md • SHA-256: 21ddaa010c3f2125fa4cd0efa012a9095606edb443a2eabdc8621c64ee8affa6 Scope: Cycle 1 found — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf,7,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 7 of KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf: Attendance is not a measure of spiritual worth. Unavoidable absence with communication is normal. Repeated patterns of lateness, absence, or — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf,8,pdf-page+contact-sheet,"Contact sheet contact-sheet-001.png opened for visual review; Opened rendered page 8 of KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf: Canonical source: launch/FAMILY-COVENANT-ACKNOWLEDGEMENT-TEMPLATE.md • SHA-256: 7d11bacbbd4d6ad822e06341ad6ceed969dfbb90ff40476e6fdd9016b47b — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf,9,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 9 of KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf: comparison, and public ranking. 7 We will not photograph/record by default without agreement. ____ 8 We understand we may pause or leave res — cream ground, plum header/footer readable",,1,PASS
KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf,10,pdf-page+contact-sheet,"Contact sheet contact-sheet-002.png opened for visual review; Opened rendered page 10 of KUTUMBA-C1-W1-FAMILY-ORIENTATION-AND-COVENANT-V12.2.pdf: Canonical source: launch/CHILD-HOUSE-RULES.md • SHA-256: 6a525f3dd1da740db86e246622696c7b08e28c1f1475227567d639a5bd54ce47 Parents remain ons — EXTERNAL_OPEN status retained — cream ground, plum header/footer readable",,1,PASS
