file,page,render_png,inspected,issues_found,fix_applied,status,review_iteration
exports\final\KUTUMBA-C1-VERSE-PACK-V12.1.pdf,1,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-VERSE-PACK-V12.1.docx\page-001.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-VERSE-PACK-V12.1.pdf,2,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-VERSE-PACK-V12.1.docx\page-002.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-VERSE-PACK-V12.1.pdf,3,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-VERSE-PACK-V12.1.docx\page-003.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,1,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-001.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,2,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-002.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,3,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-003.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,4,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-004.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,5,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-005.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,6,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-006.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,7,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-007.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,8,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-008.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,9,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-009.png,yes,ok,none,PASS,2
exports\final\KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.pdf,10,build-evidence\v12-render-qa\exports-final-KUTUMBA-C1-W1-SATURDAY-PRINT-PACKET-V12.1.docx\page-010.png,yes,ok,none,PASS,2
